Report_Type,Report_Type_Internal_Value,Report_Id,Title,Priority,Priority_Internal_Value,Report_Status,Reported_By,Reported_At_(GMT+2:0),Latitude,Longitude,Number_of_Notes,Notes,Number_of_Related_Subjects,Collection_Report_IDs,Area,Perimeter,Attachments,CUSTOM_FIELDS_BEGIN_HERE,ID,Condition,Activity,Count,Additional_Information
Elephant Sighting,elephant_monitoring_rep,2296,,Green,100,Resolved,Royal Morubisi Guides,2023-09-10 06:54,-24.07349751340557,27.76385714301898,0,,,,,,,,Unknown Herd,,,,And tiny jolandie
Elephant Sighting,elephant_monitoring_rep,6748,,Green,100,Resolved,WPS Camera,2024-12-09 08:34,-24.1156891368002,27.717451150641438,0,,,,,,,,Unknown Bull/s,,Moving,1,
Elephant Sighting,elephant_monitoring_rep,3066,,Green,100,Resolved,MichaelH,2024-01-09 16:35,-24.07090525623356,27.754427598202724,0,,,,,,,,Mokolo Herd,5 (Good),Moving,13,
Elephant Sighting,elephant_monitoring_rep,6396,,Green,100,Resolved,WPS Camera,2024-11-09 18:39,-24.079872962284966,27.741580241936987,0,,,,,,,,Mokolo Herd,,,7,
Elephant Sighting,elephant_monitoring_rep,3136,,Green,100,Resolved,Royal Morubisi Guides,2024-01-20 09:32,-24.084107885487768,27.77487909531561,0,,,,,,,,Unknown Herd,,,10,Abrie
Elephant Sighting,elephant_monitoring_rep,1462,,Green,100,Resolved,,2023-04-19 08:45,-24.067247542431332,27.755101963396186,0,,,,,,,,Unknown Bull/s,5 (Good),Feeding,1,
Elephant Sighting,elephant_monitoring_rep,2814,,Green,100,Resolved,MichaelH,2023-12-04 12:19,-24.105820784194023,27.725169149167353,0,,,,,,,,Peanuts,5 (Good),Drinking Water,2,
Elephant Sighting,elephant_monitoring_rep,2483,,Green,100,Resolved,Jacque,2023-10-10 19:38,-24.079611874441326,27.77393786404113,0,,,,,,,,Kaingo Herd,5 (Good),Drinking Water,10,
Elephant Sighting,elephant_monitoring_rep,2897,,Green,100,Resolved,FransM,2023-12-21 13:10,-24.10749333333333,27.727504999999997,0,,,,,,,,Tiny,5 (Good),Feeding,1,
Elephant Sighting,elephant_monitoring_rep,5441,,Green,100,Resolved,WPS Camera,2024-08-13 06:35,-24.079286057777125,27.83328517802292,0,,,,,,,,Peanuts,,,1,
Elephant Sighting,elephant_monitoring_rep,4724,,Green,100,Resolved,WPS Camera,2024-06-07 18:36,-24.111880942601587,27.78008970348685,0,,,,,,,,Unknown Herd,,Drinking Water,2,
Elephant Sighting,elephant_monitoring_rep,1770,,Green,100,Resolved,Jacque,2023-06-21 18:02,-24.08402373835648,27.84822870958564,1,Matswani guide Antonia,,,,,,,Tiny,5 (Good),Feeding,2,With a young bull
Elephant Sighting,elephant_monitoring_rep,6027,,Green,100,Resolved,Elzet,2024-10-02 14:01,-24.08060762565583,27.776357671245933,0,,,,,,,,Kambaku,5 (Good),Feeding,1,
Elephant Sighting,elephant_monitoring_rep,2456,,Green,100,Resolved,Piet,2023-10-08 15:51,-24.07215127753976,27.811821961194767,0,,,,,,,,Kaingo Herd,5 (Good),Moving,,
Elephant Sighting,elephant_monitoring_rep,7125,,Green,100,Resolved,Jurie Willemse,2025-01-25 08:22,-24.12078408782648,27.701417727846774,0,,,,,,,,Peanuts,,,3,Tiny and short tuskbull
Elephant Sighting,elephant_monitoring_rep,6052,,Green,100,Resolved,WPS Camera,2024-10-01 17:31,-24.115495427998866,27.717220617893048,0,,,,,,,,Unknown Bull/s,,,2,
Elephant Sighting,elephant_monitoring_rep,3030,,Green,100,Resolved,Jurie,2024-01-06 13:42,-24.087043123762868,27.77481779000476,0,,,,,,,,Tiny,,,,
Elephant Sighting,elephant_monitoring_rep,4532,,Green,100,Resolved,WPS Camera,2024-05-25 16:10,-24.017378341734968,27.852051883986064,0,,,,,,,,Unknown Bull/s,,,1,
Elephant Sighting,elephant_monitoring_rep,6635,,Green,100,Resolved,WPS Camera,2024-11-30 19:36,-24.146424963015406,27.77293538382588,0,,,,,,,,Peanuts,,,,
Elephant Sighting,elephant_monitoring_rep,3719,,Green,100,Resolved,WPS Camera,2024-04-06 01:36,-24.051308883795926,27.887306113131842,0,,,,,,,,Unknown Herd,,,3,3+
Elephant Sighting,elephant_monitoring_rep,1271,,Green,100,Resolved,Jacque,2023-03-22 17:18,-24.07896816582773,27.77359808159534,0,,,,,,,,Mokolo Herd,5 (Good),Feeding,14,Kumbako was in the herd. Cheeky was not in the herd.
Elephant Sighting,elephant_monitoring_rep,972,,Green,100,Resolved,Jacque,2023-02-06 17:46,-24.074807834772415,27.808230653969275,0,,,,,,,,,,Feeding,11,
Elephant Sighting,elephant_monitoring_rep,1811,,Green,100,Resolved,MichaelH,2023-06-22 11:01,-24.092229234777776,27.759858846504358,0,,,,,,,,Mokolo Herd,5 (Good),Feeding,8,
Elephant Sighting,elephant_monitoring_rep,6262,,Green,100,Resolved,FransM,2024-10-25 12:38,-24.07991833333333,27.774366666666666,0,,,,,,,,Kambaku,5 (Good),Drinking Water,1,
Elephant Sighting,elephant_monitoring_rep,3923,,Green,100,Resolved,WPS Camera,2024-04-18 04:44,-24.107485362505457,27.69656714173209,0,,,,,,,,Unknown Herd,,,7,
Elephant Sighting,elephant_monitoring_rep,6633,,Green,100,Resolved,WPS Camera,2024-11-30 19:38,-24.146128985586543,27.77303051771557,0,,,,,,,,Tiny,,,2,
Elephant Sighting,elephant_monitoring_rep,2611,,Green,100,Resolved,Jacque,2023-10-28 06:08,-24.079648127631728,27.773948371404856,0,,,,,,,,Kambaku,5 (Good),Drinking Water,,
Elephant Sighting,elephant_monitoring_rep,5997,,Green,100,Resolved,WPS Camera,2024-09-28 20:02,-24.10657048278111,27.81485843653107,0,,,,,,,,Mokolo Herd,,,9,
Elephant Sighting,elephant_monitoring_rep,3282,,Green,100,Resolved,Royal Morubisi Guides,2024-02-14 20:13,-24.079624305378417,27.773831349973847,0,,,,,,,,Unknown Bull/s,,,1,Zandile
Elephant Sighting,elephant_monitoring_rep,3323,,Green,100,Resolved,Royal Morubisi Guides,2024-02-17 06:43,-24.080059793301913,27.740992746329937,0,,,,,,,,Kaingo Herd,,,10,Abrie
Elephant Sighting,elephant_monitoring_rep,2573,,Green,100,Resolved,Matswani Guides,2023-10-22 17:59,-24.075786014542473,27.76097032545519,1,Dalien,,,,,,,Unknown Herd,5 (Good),Resting,10,
Elephant Sighting,elephant_monitoring_rep,1138,,Green,100,Resolved,Piet,2023-03-02 13:04,-24.07973258233207,27.82252446545604,0,,,,,,,,,5 (Good),Other,1,
Elephant Sighting,elephant_monitoring_rep,3806,,Green,100,Resolved,Royal Morubisi Guides,2024-04-12 20:03,-24.082814606389846,27.769187465089487,0,,,,,,,,Mokolo Herd,,,,Abrie
Elephant Sighting,elephant_monitoring_rep,5633,,Green,100,Resolved,WPS Camera,2024-08-25 22:06,-24.078699232965548,27.798042006889176,0,,,,,,,,Kaingo Herd,,,1,
Elephant Sighting,elephant_monitoring_rep,676,,Green,100,Resolved,Jacque,2022-12-11 14:10,-24.076323902409854,27.76826146791626,0,,,,,,,,,5 (Good),Feeding,19,Both breedng herds with Kumbaku together.
Elephant Sighting,elephant_monitoring_rep,2844,,Green,100,Resolved,MichaelH,2023-12-13 14:32,-24.094877049362495,27.720831356558094,0,,,,,,,,Peanuts,5 (Good),Standing,1,
Elephant Sighting,elephant_monitoring_rep,6831,,Green,100,Resolved,,2024-12-16 09:19,,,0,,,,,,,,Kaingo Herd,,,13,
Elephant Sighting,elephant_monitoring_rep,2514,,Green,100,Resolved,Matswani Guides,2023-10-14 10:45,-24.07574993959497,27.76337479441989,1,Megan,,,,,,,Unknown Herd,5 (Good),Feeding,,
Elephant Sighting,elephant_monitoring_rep,739,,Green,100,Resolved,Jurie,2022-12-20 17:10,-24.10635957714925,27.81415180757716,0,,,,,,,,,,,,
Elephant Sighting,elephant_monitoring_rep,2267,,Green,100,Resolved,Matswani Guides,2023-09-06 19:47,-24.07742439579704,27.812469072873682,1,Casper,,,,,,,Kambaku,,Standing,,
Elephant Sighting,elephant_monitoring_rep,1810,,Green,100,Resolved,MichaelH,2023-06-22 11:08,-24.091332692553323,27.765255286212692,0,,,,,,,,Peanuts,5 (Good),Moving,1,Mock charged me 
Elephant Sighting,elephant_monitoring_rep,4474,,Green,100,Resolved,Elzet,2024-05-21 16:37,-24.076329,27.748347,1,Hole in ear and tear at bottom of same ear,,,,,https://storage.googleapis.com/user-uploads-kaingo/image_fileuploads/2024/05/23/682779b4-231f-4bf6-bf49-a3a4cf69a070/1000041407.jpg?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=er-gcs-kaingo%40earthranger-78ca55ca.iam.gserviceaccount.com%2F20250228%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250228T055458Z&X-Goog-Expires=86400&X-Goog-SignedHeaders=host&X-Goog-Signature=371d9d2c38c2cd14affee64a0d39e8fc631be76406a725416bc5e7528b6361e7544a1a20a0f0184fa15c81e91af93d7c1d176171333db2a3f99e3f3c8a0363cacb1d5d6ad2d1c4d832e22cc3f4b10b2d26ec9b303a7e78566694828b556e1ee84988a95a205fbcbef0df1de85328d26f04f5db703e63d3c023a9307733f55671098905a9166bfde5e7d00be173c9a40f10bdc550877506beb2a7e9acef2f37d73040fdd182517d5d64b74ceca587824e7c67cde43002ec65f36c18d06156629c9d7d63b41e283c0b84f6fc4938c3fef0f6f645265f07e8eb0181290d0e2e5a5eef66cf16c34c74ade587cf115758c2ae6ca2f2b1ba99cd91fa687b1036536d93,,Kambaku,5 (Good),Feeding,1,
Elephant Sighting,elephant_monitoring_rep,1853,,Green,100,Resolved,FransM,2023-07-05 14:04,-24.096058333333335,27.77075,0,,,,,,,,Kambaku,5 (Good),Feeding,1,
Elephant Sighting,elephant_monitoring_rep,6453,,Green,100,Resolved,WPS Camera,2024-11-15 23:17,-24.017957325771533,27.851614515089267,0,,,,,,,,Mokolo Herd,,,0.9,
Elephant Sighting,elephant_monitoring_rep,2951,,Green,100,Resolved,FransM,2023-12-28 17:25,-24.111978333333333,27.781066666666668,0,,,,,,,,Unknown Bull/s,5 (Good),Moving,1,
Elephant Sighting,elephant_monitoring_rep,776,,Green,100,Resolved,Jacque,2022-12-27 19:00,-24.078197881818028,27.806908146966407,0,,,,,,,,,5 (Good),Feeding,,
Elephant Sighting,elephant_monitoring_rep,3994,,Green,100,Resolved,MichaelH,2024-04-22 15:16,-24.06195044660647,27.74961747347897,0,,,,,,,,Tiny,,,1,
Elephant Sighting,elephant_monitoring_rep,4163,,Green,100,Resolved,WPS Camera,2024-04-30 18:15,-24.11578498310149,27.717377966734688,0,,,,,,,,Unknown Herd,,,5,
Elephant Sighting,elephant_monitoring_rep,3301,,Green,100,Resolved,Royal Morubisi Guides,2024-02-15 17:31,-24.074204409722967,27.814697564640483,0,,,,,,,,Unknown Bull/s,,,1,Abrie believes it was scout 
Elephant Sighting,elephant_monitoring_rep,3152,,Green,100,Resolved,Jacque,2024-01-24 14:34,-24.05516354696279,27.74478389694906,0,,,,,,,,Peanuts,5 (Good),Feeding,,
Elephant Sighting,elephant_monitoring_rep,2488,,Green,100,Resolved,Jacque,2023-10-11 15:37,-24.07631231197375,27.771854296867275,0,,,,,,,,Kaingo Herd,5 (Good),Moving,10,
Elephant Sighting,elephant_monitoring_rep,6994,,Green,100,Resolved,WPS Camera,2025-01-04 15:12,-24.097016628264015,27.76852936487876,0,,,,,,,,Tiny,,,,
Elephant Sighting,elephant_monitoring_rep,1676,,Green,100,Resolved,FransM,2023-06-05 08:56,-24.07644,27.766380000000005,0,,,,,,,,Mokolo Herd,5 (Good),Feeding,9,
Elephant Sighting,elephant_monitoring_rep,2581,,Green,100,Resolved,Jacque,2023-10-23 19:55,-24.07516570081887,27.783701840494047,0,,,,,,,,Unknown Bull/s,5 (Good),Drinking Water,2,
Elephant Sighting,elephant_monitoring_rep,2866,,Green,100,Resolved,Royal Morubisi Guides,2023-12-16 20:01,-24.070208476995703,27.754863434490744,1,Abrie,,,,,,,Kambaku,,Drinking Water,,
Elephant Sighting,elephant_monitoring_rep,3341,,Green,100,Resolved,Matswani Guides,2024-02-21 17:21,-24.06041663356085,27.742218074366804,1,Megan,,,,,,,Peanuts,5 (Good),Feeding,,
Elephant Sighting,elephant_monitoring_rep,5760,,Green,100,Resolved,WPS Camera,2024-09-04 16:40,-24.064001590479066,27.819476589212,0,,,,,,,,Kambaku,,,1,
Elephant Sighting,elephant_monitoring_rep,6830,,Green,100,Resolved,Jurie Willemse,2024-12-16 09:19,-24.13522241319332,27.778331692534152,0,,,,,,,,Kambaku,,,,
Elephant Sighting,elephant_monitoring_rep,5568,,Green,100,Resolved,WPS Camera,2024-08-18 11:53,-24.050749549481722,27.854659818647576,0,,,,,,,,Unknown Bull/s,,,1,
Elephant Sighting,elephant_monitoring_rep,4738,,Green,100,Resolved,FransM,2024-06-08 12:23,-24.100411666666666,27.781363333333335,0,,,,,,,,Unknown Herd,5 (Good),Moving,12,
Elephant Sighting,elephant_monitoring_rep,1355,,Green,100,Resolved,FransM,2023-04-05 08:57,-24.09922,27.72138,0,,,,,,,,Mokolo Herd,5 (Good),Feeding,9,
Elephant Sighting,elephant_monitoring_rep,2224,,Green,100,Resolved,Jacque,2023-09-01 11:46,-24.089247870522527,27.815318844129592,0,,,,,,,,Peanuts,5 (Good),Feeding,1,
Elephant Sighting,elephant_monitoring_rep,2384,,Green,100,Resolved,FransM ,2023-09-28 08:42,-24.046862,27.754825,0,,,,,,,,Kambaku,5 (Good),Moving,1,
Elephant Sighting,elephant_monitoring_rep,6788,,Green,100,Resolved,Elzet,2024-12-11 17:14,-24.093058775179088,27.752873674035072,0,,,,,,,,,5 (Good),Feeding,1,
Elephant Sighting,elephant_monitoring_rep,2496,,Green,100,Resolved,Royal Morubisi Guides,2023-10-10 17:23,-24.07676062475342,27.76635691562845,0,,,,,,,,Unknown Herd,,,10,Abrie
Elephant Sighting,elephant_monitoring_rep,2609,,Green,100,Resolved,MichaelH,2023-10-27 10:55,-24.091971251861867,27.765582069001617,0,,,,,,,,Kaingo Herd,5 (Good),Drinking Water,9,
Elephant Sighting,elephant_monitoring_rep,2398,,Green,100,Resolved,Jacque,2023-10-01 13:48,-24.064647371383757,27.751651391892693,0,,,,,,,,Peanuts,5 (Good),Drinking Water,1,
Elephant Sighting,elephant_monitoring_rep,6248,,Green,100,Resolved,WPS Camera,2024-10-23 17:10,-24.111997857833558,27.780546101005115,0,,,,,,,,Unknown Bull/s,,,1,
Elephant Sighting,elephant_monitoring_rep,2747,,Green,100,Resolved,Jacque,2023-11-20 10:27,-24.080160523222816,27.77986286082728,0,,,,,,,,Kambaku,,Feeding,,
Elephant Sighting,elephant_monitoring_rep,2291,,Green,100,Resolved,Jacque,2023-09-10 19:19,-24.07950459706423,27.77423968699992,0,,,,,,,,Kambaku,,Feeding,1,
Elephant Sighting,elephant_monitoring_rep,827,,Green,100,Resolved,,2023-01-07 18:34,-24.0876447,27.7831513,0,,,,,,,,,5 (Good),Feeding,10,With new baby
Elephant Sighting,elephant_monitoring_rep,5548,,Green,100,Resolved,Royal Morubisi Guides,2024-08-20 10:32,-24.06084223090167,27.792773038353545,0,,,,,,,,Kaingo Herd,,,,
Elephant Sighting,elephant_monitoring_rep,4105,,Green,100,Resolved,WPS Camera,2024-04-26 20:10,-24.107447438669922,27.79855143156118,0,,,,,,,,Unknown Bull/s,,,1,
Elephant Sighting,elephant_monitoring_rep,1073,,Green,100,Resolved,FransM,2023-02-21 15:16,-24.074969891827337,27.807219857374974,0,,,,,,,,,5 (Good),Moving,8,
Elephant Sighting,elephant_monitoring_rep,5569,,Green,100,Resolved,WPS Camera,2024-08-21 19:15,-24.06373033687251,27.819421731115654,0,,,,,,,,Mokolo Herd,,,10,tiny with them
Elephant Sighting,elephant_monitoring_rep,2499,,Green,100,Resolved,Royal Morubisi Guides,2023-10-11 22:57,-24.079303529669716,27.7739061177881,0,,,,,,,,Unknown Bull/s,,,2,Jolandie 
Elephant Sighting,elephant_monitoring_rep,3509,,Green,100,Resolved,Matswani Guides,2024-03-21 17:56,-24.09932014226787,27.7214001158122,1,Johnson,,,,,,,Unknown Bull/s,,Moving,,
Elephant Sighting,elephant_monitoring_rep,2824,,Green,100,Resolved,Jacque,2023-12-10 12:31,-24.121564411582867,27.737258543269206,0,,,,,,,,Kambaku,5 (Good),Feeding,,
Elephant Sighting,elephant_monitoring_rep,3013,,Green,100,Resolved,,2024-01-03 09:05,-24.099964999999997,27.780963333333336,0,,,,,,,,Unknown Bull/s,5 (Good),Feeding,1,
Elephant Sighting,elephant_monitoring_rep,6545,,Green,100,Resolved,Elzet,2024-11-22 16:29,-24.083234136924148,27.791042597964406,0,,,,,,,,Kambaku,5 (Good),Feeding,1,
Elephant Sighting,elephant_monitoring_rep,2548,,Green,100,Resolved,Matswani Guides,2023-10-17 14:58,-24.089169512460145,27.772285739910046,1,Janelle,,,,,,,Unknown Bull/s,,Moving,1,
Elephant Sighting,elephant_monitoring_rep,2566,,Green,100,Resolved,Royal Morubisi Guides,2023-10-20 08:20,-24.075045104602097,27.79621333289049,0,,,,,,,,Kambaku,,,3,Abrie 
Elephant Sighting,elephant_monitoring_rep,5820,,Green,100,Resolved,WPS Camera,2024-09-10 23:52,-24.094992822707113,27.690118756444946,0,,,,,,,,Peanuts,,,1,
Elephant Sighting,elephant_monitoring_rep,2532,,Green,100,Resolved,MichaelH,2023-10-16 08:59,-24.092046587566095,27.76177910630455,0,,,,,,,,Peanuts,5 (Good),Feeding,1,"Relaxed , no sign of agrression "
Elephant Sighting,elephant_monitoring_rep,6101,,Green,100,Resolved,WPS Camera,2024-10-08 06:00,-24.07984662954651,27.74153666555685,0,,,,,,,,Kambaku,,,2,
Elephant Sighting,elephant_monitoring_rep,802,,Green,100,Resolved,Jurie,2023-01-01 09:31,-24.07834289662445,27.836425737005356,0,,,,,,,,,,,,
Elephant Sighting,elephant_monitoring_rep,3051,,Green,100,Resolved,Royal Morubisi Guides,2024-01-08 06:44,-24.066385078604014,27.760196424393627,0,,,,,,,,Tiny,,,3,Abrie
Elephant Sighting,elephant_monitoring_rep,4943,,Green,100,Resolved,Jacque,2024-06-28 14:29,-24.078310674056496,27.812749926624832,0,,,,,,,,Unknown Bull/s,,Moving,1,
Elephant Sighting,elephant_monitoring_rep,3787,,Green,100,Resolved,WPS Camera,2024-04-11 16:30,-24.10741530225286,27.6965424967822,0,,,,,,,,Kaingo Herd,,,10,
Elephant Sighting,elephant_monitoring_rep,7118,,Green,100,Resolved,Jacque,2025-01-24 10:08,-24.084468067138985,27.72873341418307,0,,,,,,,,Mokolo Herd,,,14,
Elephant Sighting,elephant_monitoring_rep,1442,,Green,100,Resolved,Lucas,2023-04-16 08:52,-24.064229861222415,27.819905879706795,0,,,,,,,,Unknown Bull/s,5 (Good),Drinking Water,1,
Elephant Sighting,elephant_monitoring_rep,2533,,Green,100,Resolved,MichaelH,2023-10-16 12:02,-24.101028467290185,27.781858412533104,0,,,,,,,,Kambaku,5 (Good),Feeding,1,
Elephant Sighting,elephant_monitoring_rep,5567,,Green,100,Resolved,WPS Camera,2024-08-18 17:26,-24.06414425172801,27.819600042958285,0,,,,,,,,Mokolo Herd,,,13,tiny with them
Elephant Sighting,elephant_monitoring_rep,5716,,Green,100,Resolved,WPS Camera,2024-08-31 13:37,-24.01708864046472,27.852038645908323,0,,,,,,,,Tiny,,,2,Young Bull with Tiny
Elephant Sighting,elephant_monitoring_rep,2626,,Green,100,Resolved,Jacque,2023-10-29 12:18,-24.083272249925002,27.793401394311047,0,,,,,,,,Kambaku,5 (Good),Moving,,
Elephant Sighting,elephant_monitoring_rep,6671,,Green,100,Resolved,Elzet,2024-12-03 17:18,-24.08883106894791,27.779053207486868,0,,,,,,,,Unknown Bull/s,5 (Good),Feeding,1,
Elephant Sighting,elephant_monitoring_rep,3957,,Green,100,Resolved,WPS Camera,2024-04-19 20:19,-24.069479200183537,27.734189162629406,0,,,,,,,,Tiny,,,,
Elephant Sighting,elephant_monitoring_rep,4796,,Green,100,Resolved,WPS Camera,2024-06-14 18:49,,,0,,,,,,,,Unknown Bull/s,,Drinking Water,,
Elephant Sighting,elephant_monitoring_rep,2989,,Green,100,Resolved,Royal Morubisi Guides,2024-01-02 16:35,-24.088437975561533,27.822554366294014,1,Casper,,,,,,,Peanuts,,Moving,,
Elephant Sighting,elephant_monitoring_rep,1535,,Green,100,Resolved,FransM,2023-05-02 15:02,-24.081450000000004,27.75475666666667,0,,,,,,,,Kambaku,5 (Good),,1,
Elephant Sighting,elephant_monitoring_rep,3743,,Green,100,Resolved,WPS Camera,2024-04-08 17:05,-24.11570766800031,27.717347499611606,0,,,,,,,,Kambaku,,,1,
Elephant Sighting,elephant_monitoring_rep,5839,,Green,100,Resolved,Jacque,2024-09-12 16:35,-24.07005378,27.73628672,0,,,,,,,,Tiny,5 (Good),Feeding,2,
Elephant Sighting,elephant_monitoring_rep,1916,,Green,100,Resolved,Matswani Guides,2023-07-13 18:08,-24.09520044617547,27.82480987126135,1,Megan.,,,,,,,Unknown Herd,5 (Good),Moving,,
Elephant Sighting,elephant_monitoring_rep,6604,,Green,100,Resolved,WPS Camera,2024-11-27 00:41,-24.09782413175411,27.768514380984612,0,,,,,,,,Kambaku,,,1,
Elephant Sighting,elephant_monitoring_rep,761,,Green,100,Resolved,Jurie,2022-12-25 10:27,-24.079222861229056,27.8335326028714,0,,,,,,,,,,,1,
Elephant Sighting,elephant_monitoring_rep,6261,,Green,100,Resolved,Jacque,2024-10-26 08:17,-24.06622146414709,27.776397052229356,0,,,,,,,,Kambaku,,Feeding,,
Elephant Sighting,elephant_monitoring_rep,1184,,Green,100,Resolved,FransM,2023-03-08 16:19,-24.080049999999996,27.744365000000002,0,,,,,,,,,5 (Good),Moving,1,Still fine moving towards to diamond mind area
Elephant Sighting,elephant_monitoring_rep,1165,,Green,100,Resolved,,2023-03-08 17:36,-24.097388839830458,27.768952197479535,0,,,,,,,,,5 (Good),Feeding,22,
Elephant Sighting,elephant_monitoring_rep,3389,,Green,100,Resolved,MichaelH,2024-03-01 14:32,-24.079205611227298,27.742135325689226,0,,,,,,,,Kambaku,5 (Good),Drinking Water,1,
Elephant Sighting,elephant_monitoring_rep,1719,,Green,100,Resolved,Jacque,2023-06-11 17:05,-24.077409954912255,27.842612349233093,0,,,,,,,,Kambaku,5 (Good),Feeding,,
Elephant Sighting,elephant_monitoring_rep,4285,,Green,100,Resolved,WPS Camera,2024-05-07 01:03,-24.112128742004046,27.780664675140173,0,,,,,,,,Unknown Bull/s,,,1,
