cutoff,max_inner_edge,mesh_id,response,n_vertices,all_converged,p_d_hessian,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response
40,600,mesh_19,canopy_height_900m_coef,100,FALSE,3,91.2231797803002,34,2.6830346994206,cv_canopy_height_900m_coef_mesh_19_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_19_park_average_density.Rds,Canopy Height Trend
40,800,mesh_20,canopy_height_900m_coef,99,FALSE,2,91.8240925325459,34,2.70070860389841,cv_canopy_height_900m_coef_mesh_20_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_20_park_average_density.Rds,Canopy Height Trend
80,200,mesh_21,canopy_height_900m_coef,220,TRUE,4,78.4956966609295,34,2.30869696061557,cv_canopy_height_900m_coef_mesh_21_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_21_park_average_density.Rds,Canopy Height Trend
80,400,mesh_22,canopy_height_900m_coef,98,FALSE,3,64.8225563470778,34,1.90654577491405,cv_canopy_height_900m_coef_mesh_22_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_22_park_average_density.Rds,Canopy Height Trend
80,600,mesh_23,canopy_height_900m_coef,86,FALSE,3,66.8713603243326,34,1.96680471542155,cv_canopy_height_900m_coef_mesh_23_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_23_park_average_density.Rds,Canopy Height Trend
80,800,mesh_24,canopy_height_900m_coef,84,FALSE,3,64.5774236667061,34,1.89933599019724,cv_canopy_height_900m_coef_mesh_24_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_24_park_average_density.Rds,Canopy Height Trend
160,200,mesh_25,canopy_height_900m_coef,89,FALSE,1,115.789550503237,34,3.4055750148011,cv_canopy_height_900m_coef_mesh_25_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_25_park_average_density.Rds,Canopy Height Trend
160,400,mesh_26,canopy_height_900m_coef,70,FALSE,2,114.521006213959,34,3.36826488864586,cv_canopy_height_900m_coef_mesh_26_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_26_park_average_density.Rds,Canopy Height Trend
160,600,mesh_27,canopy_height_900m_coef,56,FALSE,1,116.23746671656,34,3.4187490210753,cv_canopy_height_900m_coef_mesh_27_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_27_park_average_density.Rds,Canopy Height Trend
160,800,mesh_28,canopy_height_900m_coef,56,FALSE,1,116.23746671656,34,3.4187490210753,cv_canopy_height_900m_coef_mesh_28_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_28_park_average_density.Rds,Canopy Height Trend
320,200,mesh_29,canopy_height_900m_coef,38,FALSE,0,114.7825616282,34,3.37595769494705,cv_canopy_height_900m_coef_mesh_29_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_29_park_average_density.Rds,Canopy Height Trend
320,400,mesh_30,canopy_height_900m_coef,38,FALSE,0,114.7825616282,34,3.37595769494705,cv_canopy_height_900m_coef_mesh_30_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_30_park_average_density.Rds,Canopy Height Trend
320,600,mesh_31,canopy_height_900m_coef,38,FALSE,0,114.7825616282,34,3.37595769494705,cv_canopy_height_900m_coef_mesh_31_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_31_park_average_density.Rds,Canopy Height Trend
320,800,mesh_32,canopy_height_900m_coef,37,FALSE,0,114.60672207893,34,3.37078594349795,cv_canopy_height_900m_coef_mesh_32_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_32_park_average_density.Rds,Canopy Height Trend
