park,response,cutoff,max_inner_edge,mesh_id,n_vertices,all_converged,p_d_hessian,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response
Northern Tuli,tree_cover_1000m_coef,8,50,mesh_7,41,FALSE,4,230.208456647473,122934,0.401759959245153,cv_tree_cover_1000m_coef_northern_tuli_mesh_7_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_northern_tuli_mesh_7_1000m_local_density_parks.Rds,Woody Cover Trend
Northern Tuli,canopy_height_900m_coef,2,50,mesh_1,186,FALSE,3,2512.10896616542,122934,4.38413432140562,cv_canopy_height_900m_coef_northern_tuli_mesh_1_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_northern_tuli_mesh_1_1000m_local_density_parks.Rds,Canopy Height Trend
Northern Tuli,canopy_height_900m_coef,2,150,mesh_3,186,TRUE,5,2509.42991740707,122934,4.37945884364235,cv_canopy_height_900m_coef_northern_tuli_mesh_3_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_northern_tuli_mesh_3_1000m_local_density_parks.Rds,Canopy Height Trend
Northern Tuli,canopy_height_900m_coef,4,100,mesh_5,85,FALSE,4,2494.26812670187,122934,4.35299847591949,cv_canopy_height_900m_coef_northern_tuli_mesh_5_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_northern_tuli_mesh_5_1000m_local_density_parks.Rds,Canopy Height Trend
Northern Tuli,canopy_height_900m_coef,8,50,mesh_7,41,TRUE,5,2441.91465097894,122934,4.26163115354091,cv_canopy_height_900m_coef_northern_tuli_mesh_7_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_northern_tuli_mesh_7_1000m_local_density_parks.Rds,Canopy Height Trend
Northern Tuli,canopy_height_900m_coef,8,100,mesh_8,41,TRUE,5,2437.15180943824,122934,4.25331903915923,cv_canopy_height_900m_coef_northern_tuli_mesh_8_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_northern_tuli_mesh_8_1000m_local_density_parks.Rds,Canopy Height Trend
Northern Tuli,canopy_height_900m_coef,8,150,mesh_9,41,FALSE,3,2413.81341534533,122934,4.21258885749622,cv_canopy_height_900m_coef_northern_tuli_mesh_9_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_northern_tuli_mesh_9_1000m_local_density_parks.Rds,Canopy Height Trend
Northern Tuli,canopy_height_900m_coef,32,150,mesh_15,34,TRUE,5,2356.89568032154,122934,4.11325598659954,cv_canopy_height_900m_coef_northern_tuli_mesh_15_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_northern_tuli_mesh_15_1000m_local_density_parks.Rds,Canopy Height Trend
North Luangwa,tree_cover_1000m_coef,2,50,mesh_1,912,FALSE,3,-3901.53694539981,122934,-0.978564571206372,cv_tree_cover_1000m_coef_north_luangwa_mesh_1_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_north_luangwa_mesh_1_1000m_local_density_parks.Rds,Woody Cover Trend
North Luangwa,tree_cover_1000m_coef,2,100,mesh_2,912,TRUE,5,-3874.62461076703,122934,-0.971814549979191,cv_tree_cover_1000m_coef_north_luangwa_mesh_2_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_north_luangwa_mesh_2_1000m_local_density_parks.Rds,Woody Cover Trend
North Luangwa,tree_cover_1000m_coef,2,150,mesh_3,912,TRUE,5,-3916.78709371012,122934,-0.982389539430678,cv_tree_cover_1000m_coef_north_luangwa_mesh_3_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_north_luangwa_mesh_3_1000m_local_density_parks.Rds,Woody Cover Trend
North Luangwa,tree_cover_1000m_coef,4,50,mesh_4,345,FALSE,4,-4539.09443009995,122934,-1.13847364687734,cv_tree_cover_1000m_coef_north_luangwa_mesh_4_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_north_luangwa_mesh_4_1000m_local_density_parks.Rds,Woody Cover Trend
North Luangwa,tree_cover_1000m_coef,4,100,mesh_5,345,TRUE,5,-4543.41844027479,122934,-1.13955817413464,cv_tree_cover_1000m_coef_north_luangwa_mesh_5_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_north_luangwa_mesh_5_1000m_local_density_parks.Rds,Woody Cover Trend
North Luangwa,tree_cover_1000m_coef,4,150,mesh_6,345,TRUE,5,-4530.40839557482,122934,-1.13629505783166,cv_tree_cover_1000m_coef_north_luangwa_mesh_6_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_north_luangwa_mesh_6_1000m_local_density_parks.Rds,Woody Cover Trend
North Luangwa,tree_cover_1000m_coef,8,50,mesh_7,123,TRUE,5,-5398.16684511406,122934,-1.35394202285279,cv_tree_cover_1000m_coef_north_luangwa_mesh_7_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_north_luangwa_mesh_7_1000m_local_density_parks.Rds,Woody Cover Trend
North Luangwa,tree_cover_1000m_coef,8,100,mesh_8,123,TRUE,5,-5380.77157137778,122934,-1.34957902467464,cv_tree_cover_1000m_coef_north_luangwa_mesh_8_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_north_luangwa_mesh_8_1000m_local_density_parks.Rds,Woody Cover Trend
North Luangwa,tree_cover_1000m_coef,8,150,mesh_9,123,TRUE,5,-5377.30914344259,122934,-1.34871059529536,cv_tree_cover_1000m_coef_north_luangwa_mesh_9_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_north_luangwa_mesh_9_1000m_local_density_parks.Rds,Woody Cover Trend
North Luangwa,tree_cover_1000m_coef,16,50,mesh_10,52,TRUE,5,-5782.41275775393,122934,-1.4503167187745,cv_tree_cover_1000m_coef_north_luangwa_mesh_10_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_north_luangwa_mesh_10_1000m_local_density_parks.Rds,Woody Cover Trend
North Luangwa,tree_cover_1000m_coef,16,100,mesh_11,52,TRUE,5,-5779.56840866846,122934,-1.44960331293415,cv_tree_cover_1000m_coef_north_luangwa_mesh_11_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_north_luangwa_mesh_11_1000m_local_density_parks.Rds,Woody Cover Trend
North Luangwa,tree_cover_1000m_coef,16,150,mesh_12,52,TRUE,5,-5781.5281616359,122934,-1.45009484866714,cv_tree_cover_1000m_coef_north_luangwa_mesh_12_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_north_luangwa_mesh_12_1000m_local_density_parks.Rds,Woody Cover Trend
North Luangwa,canopy_height_900m_coef,2,50,mesh_1,912,TRUE,5,14633.9677194117,122934,3.67042079744462,cv_canopy_height_900m_coef_north_luangwa_mesh_1_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_north_luangwa_mesh_1_1000m_local_density_parks.Rds,Canopy Height Trend
North Luangwa,canopy_height_900m_coef,2,100,mesh_2,912,FALSE,4,14636.5958707629,122934,3.67107997761798,cv_canopy_height_900m_coef_north_luangwa_mesh_2_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_north_luangwa_mesh_2_1000m_local_density_parks.Rds,Canopy Height Trend
North Luangwa,canopy_height_900m_coef,2,150,mesh_3,912,FALSE,4,14633.4116956174,122934,3.67028133825367,cv_canopy_height_900m_coef_north_luangwa_mesh_3_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_north_luangwa_mesh_3_1000m_local_density_parks.Rds,Canopy Height Trend
North Luangwa,canopy_height_900m_coef,4,50,mesh_4,345,FALSE,4,13955.4846795611,122934,3.50024697255106,cv_canopy_height_900m_coef_north_luangwa_mesh_4_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_north_luangwa_mesh_4_1000m_local_density_parks.Rds,Canopy Height Trend
North Luangwa,canopy_height_900m_coef,4,100,mesh_5,345,TRUE,5,13946.573087351,122934,3.49801181022096,cv_canopy_height_900m_coef_north_luangwa_mesh_5_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_north_luangwa_mesh_5_1000m_local_density_parks.Rds,Canopy Height Trend
North Luangwa,canopy_height_900m_coef,4,150,mesh_6,345,TRUE,5,13972.7263508851,122934,3.50457144491726,cv_canopy_height_900m_coef_north_luangwa_mesh_6_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_north_luangwa_mesh_6_1000m_local_density_parks.Rds,Canopy Height Trend
North Luangwa,canopy_height_900m_coef,8,50,mesh_7,123,FALSE,4,13120.2417794079,122934,3.29075539990166,cv_canopy_height_900m_coef_north_luangwa_mesh_7_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_north_luangwa_mesh_7_1000m_local_density_parks.Rds,Canopy Height Trend
North Luangwa,canopy_height_900m_coef,8,100,mesh_8,123,FALSE,3,13114.3495501884,122934,3.28927753955065,cv_canopy_height_900m_coef_north_luangwa_mesh_8_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_north_luangwa_mesh_8_1000m_local_density_parks.Rds,Canopy Height Trend
North Luangwa,canopy_height_900m_coef,8,150,mesh_9,123,TRUE,5,13103.3101357836,122934,3.28650868717923,cv_canopy_height_900m_coef_north_luangwa_mesh_9_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_north_luangwa_mesh_9_1000m_local_density_parks.Rds,Canopy Height Trend
North Luangwa,canopy_height_900m_coef,16,50,mesh_10,52,TRUE,5,12533.6683903269,122934,3.14363390778201,cv_canopy_height_900m_coef_north_luangwa_mesh_10_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_north_luangwa_mesh_10_1000m_local_density_parks.Rds,Canopy Height Trend
North Luangwa,canopy_height_900m_coef,16,100,mesh_11,52,TRUE,5,12527.3681987314,122934,3.14205372428678,cv_canopy_height_900m_coef_north_luangwa_mesh_11_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_north_luangwa_mesh_11_1000m_local_density_parks.Rds,Canopy Height Trend
North Luangwa,canopy_height_900m_coef,16,150,mesh_12,52,FALSE,4,12531.4784361615,122934,3.1430846341012,cv_canopy_height_900m_coef_north_luangwa_mesh_12_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_north_luangwa_mesh_12_1000m_local_density_parks.Rds,Canopy Height Trend
North Luangwa,canopy_height_900m_coef,32,50,mesh_13,30,TRUE,5,12354.6117126959,122934,3.09872378046047,cv_canopy_height_900m_coef_north_luangwa_mesh_13_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_north_luangwa_mesh_13_1000m_local_density_parks.Rds,Canopy Height Trend
North Luangwa,canopy_height_900m_coef,32,100,mesh_14,30,TRUE,5,12349.7498574161,122934,3.09750435350291,cv_canopy_height_900m_coef_north_luangwa_mesh_14_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_north_luangwa_mesh_14_1000m_local_density_parks.Rds,Canopy Height Trend
North Luangwa,canopy_height_900m_coef,32,150,mesh_15,30,TRUE,5,12361.1518558946,122934,3.10036414745287,cv_canopy_height_900m_coef_north_luangwa_mesh_15_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_north_luangwa_mesh_15_1000m_local_density_parks.Rds,Canopy Height Trend
Luengue-Luiana National Park,tree_cover_1000m_coef,2,50,mesh_1,3966,FALSE,4,-16970.3439306745,122934,-0.837462689038419,cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_1_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_1_1000m_local_density_parks.Rds,Woody Cover Trend
Luengue-Luiana National Park,tree_cover_1000m_coef,2,100,mesh_2,3966,TRUE,5,-17001.3242181113,122934,-0.838991522804547,cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_2_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_2_1000m_local_density_parks.Rds,Woody Cover Trend
Luengue-Luiana National Park,tree_cover_1000m_coef,2,150,mesh_3,3966,FALSE,4,-16935.0867114592,122934,-0.835722794683142,cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_3_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_3_1000m_local_density_parks.Rds,Woody Cover Trend
Luengue-Luiana National Park,tree_cover_1000m_coef,4,50,mesh_4,1484,TRUE,5,-20103.1505894872,122934,-0.992062307021672,cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_4_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_4_1000m_local_density_parks.Rds,Woody Cover Trend
Luengue-Luiana National Park,tree_cover_1000m_coef,4,100,mesh_5,1484,TRUE,5,-20118.3157897839,122934,-0.992810688402284,cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_5_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_5_1000m_local_density_parks.Rds,Woody Cover Trend
Luengue-Luiana National Park,tree_cover_1000m_coef,4,150,mesh_6,1484,FALSE,4,-20073.5886248027,122934,-0.990603465495595,cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_6_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_6_1000m_local_density_parks.Rds,Woody Cover Trend
Luengue-Luiana National Park,tree_cover_1000m_coef,8,50,mesh_7,469,TRUE,5,-23525.0035042909,122934,-1.1609259526397,cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_7_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_7_1000m_local_density_parks.Rds,Woody Cover Trend
Luengue-Luiana National Park,tree_cover_1000m_coef,8,100,mesh_8,469,FALSE,4,-23497.1417601274,122934,-1.15955101461347,cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_8_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_8_1000m_local_density_parks.Rds,Woody Cover Trend
Luengue-Luiana National Park,tree_cover_1000m_coef,8,150,mesh_9,469,TRUE,5,-23521.1042920905,122934,-1.16073353198236,cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_9_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_9_1000m_local_density_parks.Rds,Woody Cover Trend
Luengue-Luiana National Park,tree_cover_1000m_coef,16,50,mesh_10,160,TRUE,5,-25936.5554258519,122934,-1.27993266017824,cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_10_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_10_1000m_local_density_parks.Rds,Woody Cover Trend
Luengue-Luiana National Park,tree_cover_1000m_coef,16,100,mesh_11,160,TRUE,5,-25926.4948156585,122934,-1.27943618316515,cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_11_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_11_1000m_local_density_parks.Rds,Woody Cover Trend
Luengue-Luiana National Park,tree_cover_1000m_coef,16,150,mesh_12,160,TRUE,5,-25926.5376015706,122934,-1.27943829458994,cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_12_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_12_1000m_local_density_parks.Rds,Woody Cover Trend
Luengue-Luiana National Park,tree_cover_1000m_coef,32,100,mesh_14,59,FALSE,3,-27635.5812736614,122934,-1.36377720458258,cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_14_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_14_1000m_local_density_parks.Rds,Woody Cover Trend
Luengue-Luiana National Park,tree_cover_1000m_coef,32,150,mesh_15,59,TRUE,5,-27614.6921537079,122934,-1.36274635578898,cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_15_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_luengue-luiana_national_park_mesh_15_1000m_local_density_parks.Rds,Woody Cover Trend
Luengue-Luiana National Park,canopy_height_900m_coef,2,50,mesh_1,3966,TRUE,5,71629.0691711099,122934,3.53479417543969,cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_1_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_1_1000m_local_density_parks.Rds,Canopy Height Trend
Luengue-Luiana National Park,canopy_height_900m_coef,2,100,mesh_2,3966,TRUE,5,71602.7105911288,122934,3.53349341645918,cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_2_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_2_1000m_local_density_parks.Rds,Canopy Height Trend
Luengue-Luiana National Park,canopy_height_900m_coef,2,150,mesh_3,3966,TRUE,5,71570.1563064693,122934,3.53188690813607,cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_3_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_3_1000m_local_density_parks.Rds,Canopy Height Trend
Luengue-Luiana National Park,canopy_height_900m_coef,4,50,mesh_4,1484,TRUE,5,68614.4958392887,122934,3.38602920643943,cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_4_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_4_1000m_local_density_parks.Rds,Canopy Height Trend
Luengue-Luiana National Park,canopy_height_900m_coef,4,100,mesh_5,1484,FALSE,4,68600.1961292635,122934,3.38532353579074,cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_5_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_5_1000m_local_density_parks.Rds,Canopy Height Trend
Luengue-Luiana National Park,canopy_height_900m_coef,4,150,mesh_6,1484,TRUE,5,68592.3065508724,122934,3.38493419615438,cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_6_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_6_1000m_local_density_parks.Rds,Canopy Height Trend
Luengue-Luiana National Park,canopy_height_900m_coef,8,50,mesh_7,469,TRUE,5,66059.580994545,122934,3.25994773956499,cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_7_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_7_1000m_local_density_parks.Rds,Canopy Height Trend
Luengue-Luiana National Park,canopy_height_900m_coef,8,100,mesh_8,469,TRUE,5,66069.5358535978,122934,3.26043899790751,cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_8_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_8_1000m_local_density_parks.Rds,Canopy Height Trend
Luengue-Luiana National Park,canopy_height_900m_coef,8,150,mesh_9,469,TRUE,5,66060.3678324119,122934,3.25998656891097,cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_9_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_9_1000m_local_density_parks.Rds,Canopy Height Trend
Luengue-Luiana National Park,canopy_height_900m_coef,16,50,mesh_10,160,TRUE,5,64107.1647259602,122934,3.16359873302212,cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_10_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_10_1000m_local_density_parks.Rds,Canopy Height Trend
Luengue-Luiana National Park,canopy_height_900m_coef,16,100,mesh_11,160,FALSE,4,64085.7370365819,122934,3.16254130658221,cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_11_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_11_1000m_local_density_parks.Rds,Canopy Height Trend
Luengue-Luiana National Park,canopy_height_900m_coef,16,150,mesh_12,160,FALSE,4,64085.371201536,122934,3.16252325313541,cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_12_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_12_1000m_local_density_parks.Rds,Canopy Height Trend
Luengue-Luiana National Park,canopy_height_900m_coef,32,50,mesh_13,60,TRUE,5,63109.9349491776,122934,3.11438684115563,cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_13_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_13_1000m_local_density_parks.Rds,Canopy Height Trend
Luengue-Luiana National Park,canopy_height_900m_coef,32,100,mesh_14,59,FALSE,4,63111.7988473469,122934,3.11447882191803,cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_14_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_14_1000m_local_density_parks.Rds,Canopy Height Trend
Luengue-Luiana National Park,canopy_height_900m_coef,32,150,mesh_15,59,FALSE,4,63112.476458994,122934,3.11451226110314,cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_15_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_luengue-luiana_national_park_mesh_15_1000m_local_density_parks.Rds,Canopy Height Trend
Limpopo,tree_cover_1000m_coef,2,50,mesh_1,1772,TRUE,5,-8072.06900409795,122934,-1.08248209790773,cv_tree_cover_1000m_coef_limpopo_mesh_1_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_limpopo_mesh_1_1000m_local_density_parks.Rds,Woody Cover Trend
Limpopo,tree_cover_1000m_coef,2,100,mesh_2,1772,TRUE,5,-8083.91746155593,122934,-1.08407100195198,cv_tree_cover_1000m_coef_limpopo_mesh_2_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_limpopo_mesh_2_1000m_local_density_parks.Rds,Woody Cover Trend
Limpopo,tree_cover_1000m_coef,2,150,mesh_3,1772,TRUE,5,-8133.48316248941,122934,-1.09071787079112,cv_tree_cover_1000m_coef_limpopo_mesh_3_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_limpopo_mesh_3_1000m_local_density_parks.Rds,Woody Cover Trend
Limpopo,tree_cover_1000m_coef,4,50,mesh_4,700,TRUE,5,-9071.89667298934,122934,-1.216561173795,cv_tree_cover_1000m_coef_limpopo_mesh_4_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_limpopo_mesh_4_1000m_local_density_parks.Rds,Woody Cover Trend
Limpopo,tree_cover_1000m_coef,4,100,mesh_5,700,TRUE,5,-9062.55606237884,122934,-1.21530857749482,cv_tree_cover_1000m_coef_limpopo_mesh_5_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_limpopo_mesh_5_1000m_local_density_parks.Rds,Woody Cover Trend
Limpopo,tree_cover_1000m_coef,4,150,mesh_6,700,TRUE,5,-9096.02081195243,122934,-1.21979627356208,cv_tree_cover_1000m_coef_limpopo_mesh_6_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_limpopo_mesh_6_1000m_local_density_parks.Rds,Woody Cover Trend
Limpopo,tree_cover_1000m_coef,8,50,mesh_7,234,TRUE,5,-10222.8714856331,122934,-1.37090941204682,cv_tree_cover_1000m_coef_limpopo_mesh_7_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_limpopo_mesh_7_1000m_local_density_parks.Rds,Woody Cover Trend
Limpopo,tree_cover_1000m_coef,8,100,mesh_8,234,TRUE,5,-10213.5137282014,122934,-1.36965451632042,cv_tree_cover_1000m_coef_limpopo_mesh_8_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_limpopo_mesh_8_1000m_local_density_parks.Rds,Woody Cover Trend
