term,estimate,std.error,conf.low,conf.high,sig,response,excluded_park,n_park,dev_explained_var,dev_explained_full,dev_explained_spatial,cutoff,max_inner_edge,n_vertices,aic,n,model_id,model_path,hessian_ok,eigen_values_ok,nlminb_ok,range_ok,gradients_ok,se_magnitude_ok,se_na_ok,sigmas_ok,all_ok,clean_response,clean_term
slocal_density_km2_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Itala Nature Reserve,199,0.0576263822436962,0.858258922616789,0.856313946822086,2,100,17933,-533177.789652381,74105,loo_canopy_height_900m_coef_no_itala_nature_reserve_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_itala_nature_reserve_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Itala Nature Reserve,199,0.0576263822436962,0.858258922616789,0.856313946822086,2,100,17933,-533177.789652381,74105,loo_canopy_height_900m_coef_no_itala_nature_reserve_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_itala_nature_reserve_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Itala Nature Reserve,199,0.0576263822436962,0.858258922616789,0.856313946822086,2,100,17933,-533177.789652381,74105,loo_canopy_height_900m_coef_no_itala_nature_reserve_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_itala_nature_reserve_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sfire_frequency_scaled
sprec_coef_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Itala Nature Reserve,199,0.0576263822436962,0.858258922616789,0.856313946822086,2,100,17933,-533177.789652381,74105,loo_canopy_height_900m_coef_no_itala_nature_reserve_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_itala_nature_reserve_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sprec_coef_scaled
(Intercept),-0.0103994586985974,0.00032222198060991,-0.01103100217562,-0.00976791522157478,negative,canopy_height_900m_coef,Kasungu National Park,1755,0.0392150112254375,0.84187186035533,0.839752599956902,2,100,17496,-522329.104959514,72549,loo_canopy_height_900m_coef_no_kasungu_national_park_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_kasungu_national_park_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,(Intercept)
slocal_density_km2_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Kasungu National Park,1755,0.0392150112254375,0.84187186035533,0.839752599956902,2,100,17496,-522329.104959514,72549,loo_canopy_height_900m_coef_no_kasungu_national_park_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_kasungu_national_park_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Kasungu National Park,1755,0.0392150112254375,0.84187186035533,0.839752599956902,2,100,17496,-522329.104959514,72549,loo_canopy_height_900m_coef_no_kasungu_national_park_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_kasungu_national_park_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Kasungu National Park,1755,0.0392150112254375,0.84187186035533,0.839752599956902,2,100,17496,-522329.104959514,72549,loo_canopy_height_900m_coef_no_kasungu_national_park_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_kasungu_national_park_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sfire_frequency_scaled
sprec_coef_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Kasungu National Park,1755,0.0392150112254375,0.84187186035533,0.839752599956902,2,100,17496,-522329.104959514,72549,loo_canopy_height_900m_coef_no_kasungu_national_park_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_kasungu_national_park_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sprec_coef_scaled
(Intercept),-0.010007111269565,0.000352190218446015,-0.0106973914134264,-0.00931683112570347,negative,canopy_height_900m_coef,Khaudum,2528,0.0760440725111466,0.859224441938295,0.857241157696673,2,100,17392,-514963.277116465,71776,loo_canopy_height_900m_coef_no_khaudum_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_khaudum_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,(Intercept)
slocal_density_km2_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Khaudum,2528,0.0760440725111466,0.859224441938295,0.857241157696673,2,100,17392,-514963.277116465,71776,loo_canopy_height_900m_coef_no_khaudum_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_khaudum_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Khaudum,2528,0.0760440725111466,0.859224441938295,0.857241157696673,2,100,17392,-514963.277116465,71776,loo_canopy_height_900m_coef_no_khaudum_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_khaudum_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Khaudum,2528,0.0760440725111466,0.859224441938295,0.857241157696673,2,100,17392,-514963.277116465,71776,loo_canopy_height_900m_coef_no_khaudum_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_khaudum_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sfire_frequency_scaled
sprec_coef_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Khaudum,2528,0.0760440725111466,0.859224441938295,0.857241157696673,2,100,17392,-514963.277116465,71776,loo_canopy_height_900m_coef_no_khaudum_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_khaudum_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sprec_coef_scaled
(Intercept),-0.00991286494681141,0.000344406091193478,-0.0105878884816068,-0.00923784141201597,negative,canopy_height_900m_coef,Klaserie Private Nature Reserve,392,0.0595765528085458,0.85872047267841,0.856795926792726,2,100,17919,-531594.9225291,73912,loo_canopy_height_900m_coef_no_klaserie_private_nature_reserve_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_klaserie_private_nature_reserve_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,(Intercept)
slocal_density_km2_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Klaserie Private Nature Reserve,392,0.0595765528085458,0.85872047267841,0.856795926792726,2,100,17919,-531594.9225291,73912,loo_canopy_height_900m_coef_no_klaserie_private_nature_reserve_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_klaserie_private_nature_reserve_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Klaserie Private Nature Reserve,392,0.0595765528085458,0.85872047267841,0.856795926792726,2,100,17919,-531594.9225291,73912,loo_canopy_height_900m_coef_no_klaserie_private_nature_reserve_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_klaserie_private_nature_reserve_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Klaserie Private Nature Reserve,392,0.0595765528085458,0.85872047267841,0.856795926792726,2,100,17919,-531594.9225291,73912,loo_canopy_height_900m_coef_no_klaserie_private_nature_reserve_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_klaserie_private_nature_reserve_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sfire_frequency_scaled
sprec_coef_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Klaserie Private Nature Reserve,392,0.0595765528085458,0.85872047267841,0.856795926792726,2,100,17919,-531594.9225291,73912,loo_canopy_height_900m_coef_no_klaserie_private_nature_reserve_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_klaserie_private_nature_reserve_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sprec_coef_scaled
(Intercept),-0.0101258289349434,0.000382385334674299,-0.0108752904191213,-0.00937636745076543,negative,canopy_height_900m_coef,Kruger National Park,6372,0.0646440822971147,0.856431264614492,0.854433313686593,2,100,16149,-485362.240696461,67932,loo_canopy_height_900m_coef_no_kruger_national_park_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_kruger_national_park_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,(Intercept)
slocal_density_km2_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Kruger National Park,6372,0.0646440822971147,0.856431264614492,0.854433313686593,2,100,16149,-485362.240696461,67932,loo_canopy_height_900m_coef_no_kruger_national_park_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_kruger_national_park_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Kruger National Park,6372,0.0646440822971147,0.856431264614492,0.854433313686593,2,100,16149,-485362.240696461,67932,loo_canopy_height_900m_coef_no_kruger_national_park_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_kruger_national_park_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Kruger National Park,6372,0.0646440822971147,0.856431264614492,0.854433313686593,2,100,16149,-485362.240696461,67932,loo_canopy_height_900m_coef_no_kruger_national_park_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_kruger_national_park_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sfire_frequency_scaled
sprec_coef_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Kruger National Park,6372,0.0646440822971147,0.856431264614492,0.854433313686593,2,100,16149,-485362.240696461,67932,loo_canopy_height_900m_coef_no_kruger_national_park_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_kruger_national_park_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sprec_coef_scaled
(Intercept),-0.0103372695022154,0.000363524617217921,-0.0110497646594562,-0.00962477434497457,negative,canopy_height_900m_coef,Limpopo,7457,0.0630341968207944,0.85988009699372,0.857829367199067,2,100,16410,-478377.986421603,66847,loo_canopy_height_900m_coef_no_limpopo_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_limpopo_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,(Intercept)
slocal_density_km2_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Limpopo,7457,0.0630341968207944,0.85988009699372,0.857829367199067,2,100,16410,-478377.986421603,66847,loo_canopy_height_900m_coef_no_limpopo_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_limpopo_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Limpopo,7457,0.0630341968207944,0.85988009699372,0.857829367199067,2,100,16410,-478377.986421603,66847,loo_canopy_height_900m_coef_no_limpopo_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_limpopo_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Limpopo,7457,0.0630341968207944,0.85988009699372,0.857829367199067,2,100,16410,-478377.986421603,66847,loo_canopy_height_900m_coef_no_limpopo_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_limpopo_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sfire_frequency_scaled
