tier,filter_call,cutoff,max_inner_edge,mesh_id,n_vertices,all_converged,p_d_hessian,response,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response
tree_cover_1000m_coef_uq,tree_cover_q == 'uq',32,150,mesh_15,508,TRUE,5,tree_cover_1000m_coef,-40971.586057078,83860,-1.43694406260576,cv_tree_cover_1000m_coef_uq_mesh_15_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_uq_mesh_15_1000m_local_density_subsets.Rds,Woody Cover Trend
canopy_height_900m_coef_uq,canopy_height_q == 'uq',2,50,mesh_1,10479,TRUE,5,canopy_height_900m_coef,99412.282260532,83860,3.48655989410206,cv_canopy_height_900m_coef_uq_mesh_1_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_uq_mesh_1_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_uq,canopy_height_q == 'uq',2,100,mesh_2,8801,TRUE,5,canopy_height_900m_coef,99585.2408718363,83860,3.4926258503783,cv_canopy_height_900m_coef_uq_mesh_2_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_uq_mesh_2_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_uq,canopy_height_q == 'uq',2,150,mesh_3,8504,TRUE,5,canopy_height_900m_coef,99158.8774116226,83860,3.47767254977107,cv_canopy_height_900m_coef_uq_mesh_3_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_uq_mesh_3_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_uq,canopy_height_q == 'uq',4,50,mesh_4,5681,TRUE,5,canopy_height_900m_coef,96061.9038969518,83860,3.36905635664265,cv_canopy_height_900m_coef_uq_mesh_4_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_uq_mesh_4_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_uq,canopy_height_q == 'uq',4,100,mesh_5,3997,TRUE,5,canopy_height_900m_coef,95982.0906398343,83860,3.36625716830338,cv_canopy_height_900m_coef_uq_mesh_5_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_uq_mesh_5_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_uq,canopy_height_q == 'uq',4,150,mesh_6,3710,TRUE,5,canopy_height_900m_coef,95944.2685650954,83860,3.36493068302512,cv_canopy_height_900m_coef_uq_mesh_6_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_uq_mesh_6_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_uq,canopy_height_q == 'uq',8,50,mesh_7,3654,TRUE,5,canopy_height_900m_coef,92155.5154913774,83860,3.23205258974424,cv_canopy_height_900m_coef_uq_mesh_7_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_uq_mesh_7_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_uq,canopy_height_q == 'uq',8,150,mesh_9,1613,TRUE,5,canopy_height_900m_coef,92088.9306695426,83860,3.22971734540534,cv_canopy_height_900m_coef_uq_mesh_9_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_uq_mesh_9_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_uq,canopy_height_q == 'uq',16,50,mesh_10,2882,FALSE,3,canopy_height_900m_coef,88708.8933261855,83860,3.11117361646216,cv_canopy_height_900m_coef_uq_mesh_10_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_uq_mesh_10_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_uq,canopy_height_q == 'uq',16,100,mesh_11,1099,FALSE,3,canopy_height_900m_coef,88723.7507846996,83860,3.1116946931119,cv_canopy_height_900m_coef_uq_mesh_11_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_uq_mesh_11_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_uq,canopy_height_q == 'uq',16,150,mesh_12,777,FALSE,1,canopy_height_900m_coef,88708.7182833083,83860,3.11116747740709,cv_canopy_height_900m_coef_uq_mesh_12_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_uq_mesh_12_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_uq,canopy_height_q == 'uq',32,50,mesh_13,1759,FALSE,4,canopy_height_900m_coef,86596.8524627089,83860,3.03710070714092,cv_canopy_height_900m_coef_uq_mesh_13_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_uq_mesh_13_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_uq,canopy_height_q == 'uq',32,100,mesh_14,808,FALSE,3,canopy_height_900m_coef,86258.9123487061,83860,3.02524856552121,cv_canopy_height_900m_coef_uq_mesh_14_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_uq_mesh_14_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_uq,canopy_height_q == 'uq',32,150,mesh_15,469,FALSE,2,canopy_height_900m_coef,86230.6872498646,83860,3.02425866271051,cv_canopy_height_900m_coef_uq_mesh_15_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_uq_mesh_15_1000m_local_density_subsets.Rds,Canopy Height Trend
tree_cover_1000m_coef_unfenced,fenced == 'unfenced',2,50,mesh_1,19208,TRUE,5,tree_cover_1000m_coef,-65923.9811347059,83860,-0.88590831207442,cv_tree_cover_1000m_coef_unfenced_mesh_1_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_unfenced_mesh_1_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_unfenced,fenced == 'unfenced',2,100,mesh_2,17739,TRUE,5,tree_cover_1000m_coef,-65769.821483159,83860,-0.883836663573507,cv_tree_cover_1000m_coef_unfenced_mesh_2_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_unfenced_mesh_2_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_unfenced,fenced == 'unfenced',2,150,mesh_3,17495,TRUE,5,tree_cover_1000m_coef,-65626.4707629601,83860,-0.881910269075176,cv_tree_cover_1000m_coef_unfenced_mesh_3_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_unfenced_mesh_3_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_unfenced,fenced == 'unfenced',4,50,mesh_4,8642,TRUE,5,tree_cover_1000m_coef,-76116.8191690131,83860,-1.02288304847224,cv_tree_cover_1000m_coef_unfenced_mesh_4_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_unfenced_mesh_4_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_unfenced,fenced == 'unfenced',4,100,mesh_5,7134,TRUE,5,tree_cover_1000m_coef,-76253.6223328728,83860,-1.02472145473799,cv_tree_cover_1000m_coef_unfenced_mesh_5_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_unfenced_mesh_5_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_unfenced,fenced == 'unfenced',4,150,mesh_6,6885,TRUE,5,tree_cover_1000m_coef,-76286.6579057284,83860,-1.02516539771721,cv_tree_cover_1000m_coef_unfenced_mesh_6_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_unfenced_mesh_6_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_unfenced,fenced == 'unfenced',8,50,mesh_7,4246,FALSE,4,tree_cover_1000m_coef,-88094.5306284822,83860,-1.18384350563714,cv_tree_cover_1000m_coef_unfenced_mesh_7_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_unfenced_mesh_7_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_unfenced,fenced == 'unfenced',8,100,mesh_8,2716,TRUE,5,tree_cover_1000m_coef,-88057.2694061975,83860,-1.1833427769801,cv_tree_cover_1000m_coef_unfenced_mesh_8_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_unfenced_mesh_8_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_unfenced,fenced == 'unfenced',8,150,mesh_9,2463,FALSE,4,tree_cover_1000m_coef,-88115.0824885011,83860,-1.18411968834495,cv_tree_cover_1000m_coef_unfenced_mesh_9_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_unfenced_mesh_9_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_unfenced,fenced == 'unfenced',16,50,mesh_10,2846,TRUE,5,tree_cover_1000m_coef,-97373.5337532571,83860,-1.30853782558735,cv_tree_cover_1000m_coef_unfenced_mesh_10_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_unfenced_mesh_10_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_unfenced,fenced == 'unfenced',16,100,mesh_11,1266,TRUE,5,tree_cover_1000m_coef,-97363.0355923671,83860,-1.3083967478212,cv_tree_cover_1000m_coef_unfenced_mesh_11_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_unfenced_mesh_11_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_unfenced,fenced == 'unfenced',16,150,mesh_12,992,TRUE,5,tree_cover_1000m_coef,-97404.1730882613,83860,-1.30894956712798,cv_tree_cover_1000m_coef_unfenced_mesh_12_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_unfenced_mesh_12_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_unfenced,fenced == 'unfenced',32,50,mesh_13,1641,TRUE,5,tree_cover_1000m_coef,-104324.236163397,83860,-1.40194366871015,cv_tree_cover_1000m_coef_unfenced_mesh_13_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_unfenced_mesh_13_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_unfenced,fenced == 'unfenced',32,100,mesh_14,809,TRUE,5,tree_cover_1000m_coef,-104772.372266653,83860,-1.40796587022137,cv_tree_cover_1000m_coef_unfenced_mesh_14_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_unfenced_mesh_14_1000m_local_density_subsets.Rds,Woody Cover Trend
canopy_height_900m_coef_unfenced,fenced == 'unfenced',2,50,mesh_1,19208,TRUE,5,canopy_height_900m_coef,273347.13372063,83860,3.67332939662738,cv_canopy_height_900m_coef_unfenced_mesh_1_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_unfenced_mesh_1_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_unfenced,fenced == 'unfenced',2,100,mesh_2,17739,TRUE,5,canopy_height_900m_coef,273412.811336923,83860,3.67421199420705,cv_canopy_height_900m_coef_unfenced_mesh_2_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_unfenced_mesh_2_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_unfenced,fenced == 'unfenced',2,150,mesh_3,17495,TRUE,5,canopy_height_900m_coef,273384.269482716,83860,3.67382843930867,cv_canopy_height_900m_coef_unfenced_mesh_3_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_unfenced_mesh_3_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_unfenced,fenced == 'unfenced',4,50,mesh_4,8642,TRUE,5,canopy_height_900m_coef,262402.126980876,83860,3.52624676782428,cv_canopy_height_900m_coef_unfenced_mesh_4_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_unfenced_mesh_4_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_unfenced,fenced == 'unfenced',4,100,mesh_5,7134,FALSE,4,canopy_height_900m_coef,262477.59524492,83860,3.52726093537399,cv_canopy_height_900m_coef_unfenced_mesh_5_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_unfenced_mesh_5_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_unfenced,fenced == 'unfenced',4,150,mesh_6,6885,TRUE,5,canopy_height_900m_coef,262464.817067449,83860,3.5270892179892,cv_canopy_height_900m_coef_unfenced_mesh_6_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_unfenced_mesh_6_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_unfenced,fenced == 'unfenced',8,50,mesh_7,4246,FALSE,4,canopy_height_900m_coef,250427.887930304,83860,3.36533297404123,cv_canopy_height_900m_coef_unfenced_mesh_7_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_unfenced_mesh_7_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_unfenced,fenced == 'unfenced',8,100,mesh_8,2716,FALSE,4,canopy_height_900m_coef,250503.538131387,83860,3.36634958652118,cv_canopy_height_900m_coef_unfenced_mesh_8_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_unfenced_mesh_8_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_unfenced,fenced == 'unfenced',8,150,mesh_9,2463,FALSE,4,canopy_height_900m_coef,250406.58388216,83860,3.36504668318004,cv_canopy_height_900m_coef_unfenced_mesh_9_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_unfenced_mesh_9_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_unfenced,fenced == 'unfenced',16,50,mesh_10,2846,TRUE,5,canopy_height_900m_coef,240762.489871195,83860,3.23544615087477,cv_canopy_height_900m_coef_unfenced_mesh_10_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_unfenced_mesh_10_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_unfenced,fenced == 'unfenced',16,100,mesh_11,1266,FALSE,3,canopy_height_900m_coef,240838.310773229,83860,3.23646505729069,cv_canopy_height_900m_coef_unfenced_mesh_11_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_unfenced_mesh_11_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_unfenced,fenced == 'unfenced',32,50,mesh_13,1641,FALSE,2,canopy_height_900m_coef,234821.337177995,83860,3.15560697151067,cv_canopy_height_900m_coef_unfenced_mesh_13_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_unfenced_mesh_13_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_unfenced,fenced == 'unfenced',32,100,mesh_14,809,TRUE,5,canopy_height_900m_coef,234491.554429116,83860,3.15117524160932,cv_canopy_height_900m_coef_unfenced_mesh_14_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_unfenced_mesh_14_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_unfenced,fenced == 'unfenced',32,150,mesh_15,508,FALSE,2,canopy_height_900m_coef,234502.411698268,83860,3.15132114519134,cv_canopy_height_900m_coef_unfenced_mesh_15_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_unfenced_mesh_15_1000m_local_density_subsets.Rds,Canopy Height Trend
tree_cover_1000m_coef_mq,tree_cover_q == 'mq',16,100,mesh_11,1284,FALSE,4,tree_cover_1000m_coef,-35751.0031405406,83860,-1.29190919454127,cv_tree_cover_1000m_coef_mq_mesh_11_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_mq_mesh_11_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_mq,tree_cover_q == 'mq',16,150,mesh_12,979,TRUE,5,tree_cover_1000m_coef,-35730.2087500103,83860,-1.29115776207893,cv_tree_cover_1000m_coef_mq_mesh_12_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_mq_mesh_12_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_mq,tree_cover_q == 'mq',32,50,mesh_13,1872,TRUE,5,tree_cover_1000m_coef,-38301.3785313844,83860,-1.38407034045403,cv_tree_cover_1000m_coef_mq_mesh_13_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_mq_mesh_13_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_mq,tree_cover_q == 'mq',32,100,mesh_14,881,TRUE,5,tree_cover_1000m_coef,-38385.3248651242,83860,-1.38710385086995,cv_tree_cover_1000m_coef_mq_mesh_14_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_mq_mesh_14_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_mq,tree_cover_q == 'mq',32,150,mesh_15,538,TRUE,5,tree_cover_1000m_coef,-38405.1525721283,83860,-1.38782035096044,cv_tree_cover_1000m_coef_mq_mesh_15_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_mq_mesh_15_1000m_local_density_subsets.Rds,Woody Cover Trend
canopy_height_900m_coef_mq,canopy_height_q == 'mq',2,50,mesh_1,12492,TRUE,5,canopy_height_900m_coef,103438.841335812,83860,3.73789763797968,cv_canopy_height_900m_coef_mq_mesh_1_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_mq_mesh_1_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_mq,canopy_height_q == 'mq',2,100,mesh_2,10808,TRUE,5,canopy_height_900m_coef,103234.84071637,83860,3.73052580914139,cv_canopy_height_900m_coef_mq_mesh_2_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_mq_mesh_2_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_mq,canopy_height_q == 'mq',2,150,mesh_3,10561,TRUE,5,canopy_height_900m_coef,103484.424349577,83860,3.73954483972021,cv_canopy_height_900m_coef_mq_mesh_3_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_mq_mesh_3_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_mq,canopy_height_q == 'mq',4,50,mesh_4,6781,TRUE,5,canopy_height_900m_coef,101157.409841733,83860,3.65545513105672,cv_canopy_height_900m_coef_mq_mesh_4_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_mq_mesh_4_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_mq,canopy_height_q == 'mq',4,100,mesh_5,5083,TRUE,5,canopy_height_900m_coef,101143.540709988,83860,3.65495395186601,cv_canopy_height_900m_coef_mq_mesh_5_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_mq_mesh_5_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_mq,canopy_height_q == 'mq',4,150,mesh_6,4816,TRUE,5,canopy_height_900m_coef,101098.530138332,83860,3.65332743606879,cv_canopy_height_900m_coef_mq_mesh_6_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_mq_mesh_6_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_mq,canopy_height_q == 'mq',8,50,mesh_7,4101,TRUE,5,canopy_height_900m_coef,97605.9039402625,83860,3.52711682651908,cv_canopy_height_900m_coef_mq_mesh_7_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_mq_mesh_7_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_mq,canopy_height_q == 'mq',8,100,mesh_8,2348,TRUE,5,canopy_height_900m_coef,97627.5566138887,83860,3.52789927416213,cv_canopy_height_900m_coef_mq_mesh_8_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_mq_mesh_8_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_mq,canopy_height_q == 'mq',8,150,mesh_9,2066,TRUE,5,canopy_height_900m_coef,97604.9534326195,83860,3.5270824786839,cv_canopy_height_900m_coef_mq_mesh_9_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_mq_mesh_9_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_mq,canopy_height_q == 'mq',16,50,mesh_10,3080,FALSE,0,canopy_height_900m_coef,94057.3385255184,83860,3.39888478030999,cv_canopy_height_900m_coef_mq_mesh_10_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_mq_mesh_10_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_mq,canopy_height_q == 'mq',16,100,mesh_11,1266,FALSE,1,canopy_height_900m_coef,93940.0618880585,83860,3.39464683583487,cv_canopy_height_900m_coef_mq_mesh_11_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_mq_mesh_11_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_mq,canopy_height_q == 'mq',32,50,mesh_13,1826,TRUE,5,canopy_height_900m_coef,91625.9173378045,83860,3.31102219989898,cv_canopy_height_900m_coef_mq_mesh_13_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_mq_mesh_13_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_mq,canopy_height_q == 'mq',32,100,mesh_14,853,TRUE,5,canopy_height_900m_coef,91488.2414117349,83860,3.30604710048549,cv_canopy_height_900m_coef_mq_mesh_14_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_mq_mesh_14_1000m_local_density_subsets.Rds,Canopy Height Trend
canopy_height_900m_coef_mq,canopy_height_q == 'mq',32,150,mesh_15,519,FALSE,3,canopy_height_900m_coef,91322.3656875694,83860,3.30005296453472,cv_canopy_height_900m_coef_mq_mesh_15_1000m_local_density_subsets,builds/cv_subset_models/cv_canopy_height_900m_coef_mq_mesh_15_1000m_local_density_subsets.Rds,Canopy Height Trend
tree_cover_1000m_coef_lq,tree_cover_q == 'lq',2,50,mesh_1,12763,TRUE,5,tree_cover_1000m_coef,-20813.6143184522,83860,-0.752099960918271,cv_tree_cover_1000m_coef_lq_mesh_1_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_lq_mesh_1_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_lq,tree_cover_q == 'lq',2,100,mesh_2,11156,TRUE,5,tree_cover_1000m_coef,-20607.2991164422,83860,-0.744644761019086,cv_tree_cover_1000m_coef_lq_mesh_2_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_lq_mesh_2_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_lq,tree_cover_q == 'lq',2,150,mesh_3,10898,TRUE,5,tree_cover_1000m_coef,-20839.8214796852,83860,-0.753046956698896,cv_tree_cover_1000m_coef_lq_mesh_3_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_lq_mesh_3_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_lq,tree_cover_q == 'lq',4,50,mesh_4,6939,TRUE,5,tree_cover_1000m_coef,-22233.39046746,83860,-0.803403572575704,cv_tree_cover_1000m_coef_lq_mesh_4_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_lq_mesh_4_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_lq,tree_cover_q == 'lq',4,100,mesh_5,5275,TRUE,5,tree_cover_1000m_coef,-22241.8568118578,83860,-0.803709503933575,cv_tree_cover_1000m_coef_lq_mesh_5_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_lq_mesh_5_1000m_local_density_subsets.Rds,Woody Cover Trend
