cutoff,max_inner_edge,mesh_id,n_vertices,all_converged,p_d_hessian,response,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response
16,100,mesh_11,1764,TRUE,5,canopy_height_900m_coef,396988.743739223,125806,3.15556288046057,cv_canopy_height_900m_coef_mesh_11_1000m_mean_density_smoothed,builds/cv_models/cv_canopy_height_900m_coef_mesh_11_1000m_mean_density_smoothed.Rds,Canopy Height Trend
32,50,mesh_13,2151,TRUE,5,canopy_height_900m_coef,386070.467447915,125806,3.06877627019311,cv_canopy_height_900m_coef_mesh_13_1000m_mean_density_smoothed,builds/cv_models/cv_canopy_height_900m_coef_mesh_13_1000m_mean_density_smoothed.Rds,Canopy Height Trend
2,50,mesh_1,30429,TRUE,5,tree_cover_1000m_coef,-118687.373748297,125806,-0.943415844620261,cv_tree_cover_1000m_coef_mesh_1_1000m_mean_density_smoothed,builds/cv_models/cv_tree_cover_1000m_coef_mesh_1_1000m_mean_density_smoothed.Rds,Woody Cover Trend
2,100,mesh_2,28588,TRUE,5,tree_cover_1000m_coef,-118161.504932233,125806,-0.939235846718222,cv_tree_cover_1000m_coef_mesh_2_1000m_mean_density_smoothed,builds/cv_models/cv_tree_cover_1000m_coef_mesh_2_1000m_mean_density_smoothed.Rds,Woody Cover Trend
2,150,mesh_3,28293,TRUE,5,tree_cover_1000m_coef,-118471.572940508,125806,-0.941700498708395,cv_tree_cover_1000m_coef_mesh_3_1000m_mean_density_smoothed,builds/cv_models/cv_tree_cover_1000m_coef_mesh_3_1000m_mean_density_smoothed.Rds,Woody Cover Trend
4,50,mesh_4,13020,TRUE,5,tree_cover_1000m_coef,-135336.421548579,125806,-1.07575490476273,cv_tree_cover_1000m_coef_mesh_4_1000m_mean_density_smoothed,builds/cv_models/cv_tree_cover_1000m_coef_mesh_4_1000m_mean_density_smoothed.Rds,Woody Cover Trend
4,100,mesh_5,11202,TRUE,5,tree_cover_1000m_coef,-135620.407561721,125806,-1.07801223758582,cv_tree_cover_1000m_coef_mesh_5_1000m_mean_density_smoothed,builds/cv_models/cv_tree_cover_1000m_coef_mesh_5_1000m_mean_density_smoothed.Rds,Woody Cover Trend
4,150,mesh_6,10908,TRUE,5,tree_cover_1000m_coef,-135722.754511756,125806,-1.07882576754492,cv_tree_cover_1000m_coef_mesh_6_1000m_mean_density_smoothed,builds/cv_models/cv_tree_cover_1000m_coef_mesh_6_1000m_mean_density_smoothed.Rds,Woody Cover Trend
8,50,mesh_7,5962,TRUE,5,tree_cover_1000m_coef,-154581.650065311,125806,-1.22873034724347,cv_tree_cover_1000m_coef_mesh_7_1000m_mean_density_smoothed,builds/cv_models/cv_tree_cover_1000m_coef_mesh_7_1000m_mean_density_smoothed.Rds,Woody Cover Trend
8,100,mesh_8,4011,TRUE,5,tree_cover_1000m_coef,-154462.876695913,125806,-1.22778624784123,cv_tree_cover_1000m_coef_mesh_8_1000m_mean_density_smoothed,builds/cv_models/cv_tree_cover_1000m_coef_mesh_8_1000m_mean_density_smoothed.Rds,Woody Cover Trend
8,150,mesh_9,3712,TRUE,5,tree_cover_1000m_coef,-154451.634462207,125806,-1.2276968861756,cv_tree_cover_1000m_coef_mesh_9_1000m_mean_density_smoothed,builds/cv_models/cv_tree_cover_1000m_coef_mesh_9_1000m_mean_density_smoothed.Rds,Woody Cover Trend
16,50,mesh_10,3740,FALSE,3,tree_cover_1000m_coef,-168009.24774322,125806,-1.33546291705658,cv_tree_cover_1000m_coef_mesh_10_1000m_mean_density_smoothed,builds/cv_models/cv_tree_cover_1000m_coef_mesh_10_1000m_mean_density_smoothed.Rds,Woody Cover Trend
16,100,mesh_11,1764,FALSE,1,tree_cover_1000m_coef,-168099.886910619,125806,-1.33618338481964,cv_tree_cover_1000m_coef_mesh_11_1000m_mean_density_smoothed,builds/cv_models/cv_tree_cover_1000m_coef_mesh_11_1000m_mean_density_smoothed.Rds,Woody Cover Trend
16,150,mesh_12,1413,FALSE,0,tree_cover_1000m_coef,-168036.48444745,125806,-1.33567941471353,cv_tree_cover_1000m_coef_mesh_12_1000m_mean_density_smoothed,builds/cv_models/cv_tree_cover_1000m_coef_mesh_12_1000m_mean_density_smoothed.Rds,Woody Cover Trend
32,50,mesh_13,2151,TRUE,5,tree_cover_1000m_coef,-179936.440665187,125806,-1.43026914984331,cv_tree_cover_1000m_coef_mesh_13_1000m_mean_density_smoothed,builds/cv_models/cv_tree_cover_1000m_coef_mesh_13_1000m_mean_density_smoothed.Rds,Woody Cover Trend
